id_curso;nome_curso;municipio;unidade;modalidade_educacao;modalidade_curso;turno;grau_curso;ensino;tipo_regime_letivo;situacao_curso;eixo_conhecimento;data_inicio_funcionamento;codigo_e_mec;portaria_reconhecimento
459794;MATEMÁTICA;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;LICENCIATURA;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;113589;Portaria SERES/MEC n° 918, DOU Seção 1, pág. 204-251
1820821;DIREITO;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Sociais Aplicadas;;1388536;
528390;ZOOTECNIA;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Agrárias;;123275;Portaria SERES/MEC nº 110
527820;SISTEMAS PARA INTERNET;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;80904;Portaria MEC nº 651
518224;SISTEMAS DE INFORMAÇÃO;Juiz de Fora;JFA-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;1126898;Portaria SERES/MEC n.º 152
921263;ENGENHARIA FERROVIÁRIA E METROVIÁRIA;Santos Dumont;SDM-DIRETORIA DE DESENVOLV. EDUCACIONAL;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Engenharias;;1438829;Processo de reconhecimento e-MEC 202211304. Curso reconhecido na forma do art. 11, § 1º, do Decreto nº 9.235, de 15/12/2017, e art. 26, § 1º, Portaria MEC nº 1095
553290;ADMINISTRAÇÃO;Muriaé;MUR-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Sociais Aplicadas;;1103697;Portaria Seres/Mec nº 209 de 25/06/2020, DOU 07/07/2020, Seção 1, pág.94
524921;MATEMÁTICA;Santos Dumont;SDM-DIRETORIA DE DESENVOLV. EDUCACIONAL;Presencial;GRADUACAO;Noturno;LICENCIATURA;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;1414995;Processo de reconhecimento e-MEC 202108185. Curso reconhecido na forma do art. 11, § 1º, do Decreto nº 9.235, de 15/12/2017, e art. 26, § 1º, Portaria MEC nº 1095
528371;AGROECOLOGIA;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Agrárias;;121532;Portaria SERES/MEC n° 948, DOU Seção 1, pág. 36
547949;LOGÍSTICA;São João Del Rei;SJR-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Outra;;1161237;Portaria SERES/MEC nº 209
