matricula;curso;modalidade_entrada;ano_ingresso;data_colacao_grau;situacao_matricula;sexo;prazo_conclusao;id_curso;data_registro_diploma
202*****;AGRONOMIA;AMPLA CONCORRENCIA;2022;;ATIVO;F;20312;527777;
312*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2010;;CANCELADO;F;;528322;
120*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2012;;CANCELADO;F;;553291;
101*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;F;;553291;
201*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;;2017;30-09-2022;CONCLUÍDO;F;20251;548195;07-11-2023
201*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;;2018;;ATIVO;F;20252;548195;
201*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2019;;CANCELADO;F;20242;553291;
201*****;ALIMENTOS;AMPLA CONCORRENCIA;2015;;CONCLUÍDO;F;;527823;
201*****;QUÍMICA;;2018;;FORMANDO;F;20271;527785;
202*****;DIREITO;AMPLA CONCORRENCIA;2022;;ATIVO;F;20312;1820821;
214*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2014;;CANCELADO;F;;528378;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2019;;CANCELADO;F;20272;527785;
201*****;CIÊNCIAS BIOLÓGICAS;;2015;;CONCLUÍDO;F;20232;527781;
201*****;GESTÃO DE RECURSOS HUMANOS;;2018;;FORMANDO;F;20212;551645;
202*****;ALIMENTOS;AMPLA CONCORRENCIA;2020;;CANCELADO;F;20261;527823;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2018;;CANCELADO;F;20232;527781;
201*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;;2017;30-09-2022;CONCLUÍDO;F;20251;548195;07-11-2023
202*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;AMPLA CONCORRENCIA;2022;;ATIVO;F;20292;548195;
202*****;ENGENHARIA ELÉTRICA;AMPLA CONCORRENCIA;2023;;CANCELADO;F;20331;19113375;
201*****;AGRONOMIA;AMPLA CONCORRENCIA;2013;;CANCELADO;F;;527777;
202*****;SISTEMAS DE INFORMAÇÃO;AMPLA CONCORRENCIA;2020;;ATIVO;F;20252;518224;
201*****;EDUCAÇÃO FÍSICA;AMPLA CONCORRENCIA;2012;;CANCELADO;F;;527783;
201*****;ENGENHARIA FERROVIÁRIA E METROVIÁRIA;AMPLA CONCORRENCIA;2019;;CANCELADO;F;20272;921263;
202*****;NUTRIÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2023;;CANCELADO;F;20302;527818;
202*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2023;;ATIVO;F;20302;553290;
201*****;EDUCAÇÃO FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2016;28-02-2020;CONCLUÍDO;F;20212;527783;03-03-2021
201*****;GESTÃO DE TURISMO;AMPLA CONCORRENCIA;2019;;CANCELADO;F;20232;527780;
201*****;AGRONOMIA;AMPLA CONCORRENCIA;2015;;CANCELADO;F;;527777;
201*****;EDUCAÇÃO FÍSICA;AMPLA CONCORRENCIA;2014;;CANCELADO;F;20192;527783;
202*****;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;AMPLA CONCORRENCIA;2022;;TRANCADO;F;20271;464219;
202*****;EDUCAÇÃO FÍSICA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2020;;ATIVO;F;20272;527783;
202*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2022;;ATIVO;F;20292;548195;
202*****;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;AMPLA CONCORRENCIA;2022;;ATIVO;F;20262;464219;
202*****;DIREITO;AMPLA CONCORRENCIA;2023;;ATIVO;F;20322;1820821;
202*****;QUÍMICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2023;;ATIVO;F;20322;527785;
201*****;GESTÃO AMBIENTAL;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2019;;CANCELADO;F;20232;524499;
729*****;ZOOTECNIA;AMPLA CONCORRENCIA;2013;;CANCELADO;F;;528390;
350*****;ZOOTECNIA;AMPLA CONCORRENCIA;2010;26-02-2016;CONCLUÍDO;F;20192;528390;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2014;;CANCELADO;F;;527785;
202*****;GESTÃO AMBIENTAL;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2021;;CANCELADO;F;20271;10154958;
202*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2021;;ATIVO;F;20262;553291;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2019;;ATIVO;F;20272;527785;
291*****;LATICÍNIOS;AMPLA CONCORRENCIA;2015;;CANCELADO;M;20202;898737;
201*****;GESTÃO DE TURISMO;AMPLA CONCORRENCIA;2010;;CANCELADO;F;20141;527780;
104*****;CIÊNCIA DA COMPUTAÇÃO;AMPLA CONCORRENCIA;2009;;CONCLUÍDO;F;20162;528391;
411*****;LATICÍNIOS;AMPLA CONCORRENCIA;2009;06-03-2015;CONCLUÍDO;F;20162;898737;
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;F;;527776;
210*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;F;20172;528378;
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2019;;ATIVO;F;20262;527776;
202*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2023;;CANCELADO;F;20282;10154958;
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2014;;CANCELADO;F;20181;527779;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2012;;CONCLUÍDO;F;;527781;
170*****;DESIGN DE MODA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2017;;CANCELADO;F;;553291;
130*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2013;;CANCELADO;F;;553290;
202*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2020;;CANCELADO;F;20272;548195;
202*****;GESTÃO DE RECURSOS HUMANOS;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2021;28-04-2023;CONCLUÍDO;F;20242;551645;
360*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2008;;CANCELADO;F;;528384;
130*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2013;;CANCELADO;F;20202;553290;
206*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2010;;CANCELADO;F;;528371;
202*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2023;;ATIVO;F;20302;548195;
330*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2014;;CANCELADO;F;20232;528371;
314*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2013;;CANCELADO;F;;528378;
110*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;F;;553291;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2011;;CANCELADO;F;;527785;
201*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;;2016;28-06-2023;CONCLUÍDO;F;20262;548195;
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2010;;CANCELADO;F;;527779;
108*****;MATEMÁTICA;AMPLA CONCORRENCIA;2008;;CANCELADO;F;;459794;
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2012;;CONCLUÍDO;F;20161;527779;
201*****;ZOOTECNIA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2018;;CANCELADO;F;20272;528390;
202*****;AGRONOMIA;AMPLA CONCORRENCIA;2022;;ATIVO;F;20312;527777;
150*****;FÍSICA;AMPLA CONCORRENCIA;2015;;CANCELADO;F;;518227;
170*****;ENGENHARIA METALÚRGICA;AMPLA CONCORRENCIA;2017;;ATIVO;F;20282;518225;
612*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;F;20182;528322;
202*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2020;;CANCELADO;F;20272;528322;
202*****;ZOOTECNIA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2022;;ATIVO;F;20312;528390;
410*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;F;20172;528371;
503*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2007;;CONCLUÍDO;F;20122;898738;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2012;;CONCLUÍDO;F;;527785;
202*****;SISTEMAS PARA INTERNET;AMPLA CONCORRENCIA;2020;;CANCELADO;F;20251;527820;
201*****;NUTRIÇÃO;AMPLA CONCORRENCIA;2012;;CONCLUÍDO;F;;527818;
201*****;ALIMENTOS;AMPLA CONCORRENCIA;2018;;TRANCADO;F;20251;527823;
130*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2013;;CONCLUÍDO;F;20182;553291;
710*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2009;;CANCELADO;F;;528378;
201*****;NUTRIÇÃO;AMPLA CONCORRENCIA;2018;;CANCELADO;F;;527818;
202*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2022;;ATIVO;F;20292;527776;
201*****;DESIGN DE MODA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2018;19-05-2023;CONCLUÍDO;F;20232;553291;26-05-2023
201*****;SISTEMAS DE INFORMAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2018;;CANCELADO;F;20222;518224;
102*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2010;;CANCELADO;F;;518227;
161*****;ENGENHARIA METALÚRGICA;AMPLA CONCORRENCIA;2016;;CANCELADO;F;20272;518225;
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2012;;CONCLUÍDO;F;;527776;
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2014;;CONCLUÍDO;F;20212;527776;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2014;;CONCLUÍDO;F;20222;527785;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2015;28-02-2020;CONCLUÍDO;F;20232;527785;03-03-2021
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;F;;527776;
201*****;GESTÃO DE TURISMO;AMPLA CONCORRENCIA;2015;;CONCLUÍDO;F;;527780;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2011;;CANCELADO;F;20162;527781;
201*****;AGRONOMIA;AMPLA CONCORRENCIA;2010;;CANCELADO;F;;527777;
360*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2008;;CONCLUÍDO;F;20152;528378;
351*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2010;;CANCELADO;F;;528384;
202*****;ZOOTECNIA;AMPLA CONCORRENCIA;2023;;CANCELADO;F;20331;528390;
202*****;ALIMENTOS;AMPLA CONCORRENCIA;2023;;ATIVO;F;20282;527823;
202*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2022;;CANCELADO;F;20262;553057;
202*****;GESTÃO DE RECURSOS HUMANOS;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2020;20-05-2022;CONCLUÍDO;F;20232;551645;06-12-2022
201*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2018;;ATIVO;F;20252;528378;
201*****;NUTRIÇÃO;AMPLA CONCORRENCIA;2015;02-08-2019;CONCLUÍDO;F;20211;527818;
110*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;F;20172;528378;
201*****;MATEMÁTICA;AMPLA CONCORRENCIA;2018;;CANCELADO;F;20252;459794;
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2017;12-11-2021;CONCLUÍDO;F;20242;527776;09-03-2022
201*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;AMPLA CONCORRENCIA;2019;;FORMANDO;F;20262;548195;
202*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2021;;ATIVO;F;20282;528322;
214*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2015;;CANCELADO;F;20222;528378;
201*****;SISTEMAS PARA INTERNET;AMPLA CONCORRENCIA;2012;;CANCELADO;F;;527820;
201*****;GESTÃO DE TURISMO;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;F;;527780;
202*****;MATEMÁTICA;AMPLA CONCORRENCIA;2023;;CANCELADO;F;20292;524921;
201*****;EDUCAÇÃO FÍSICA;AMPLA CONCORRENCIA;2013;;CANCELADO;F;20182;527783;
201*****;ALIMENTOS;AMPLA CONCORRENCIA;2012;;CANCELADO;F;;527823;
128*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2005;;CANCELADO;M;;528384;
201*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;;2018;;CONCLUÍDO;F;20252;548195;
201*****;NUTRIÇÃO;AMPLA CONCORRENCIA;2014;;CONCLUÍDO;M;20201;527818;
427*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2013;;CANCELADO;F;;528322;
202*****;DIREITO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2021;;ATIVO;F;20302;1820821;
413*****;LATICÍNIOS;AMPLA CONCORRENCIA;2011;15-02-2019;CONCLUÍDO;F;20162;898737;
201*****;GESTÃO DE TURISMO;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;F;;527780;
202*****;LOGÍSTICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2023;;ATIVO;F;20262;547949;
202*****;GESTÃO DE RECURSOS HUMANOS;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2020;;TRANCADO;F;20252;551645;
201*****;ALIMENTOS;AMPLA CONCORRENCIA;2013;;CANCELADO;F;;527823;
202*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2023;;ATIVO;F;20312;528371;
505*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2008;;CONCLUÍDO;F;20152;528378;
202*****;GESTÃO DE RECURSOS HUMANOS;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2020;03-08-2022;CONCLUÍDO;F;20232;551645;05-01-2023
202*****;CIÊNCIAS BIOLÓGICAS;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2023;;CANCELADO;F;20322;527781;
202*****;AGRONOMIA;AMPLA CONCORRENCIA;2020;;ATIVO;F;20292;527777;
202*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2021;;ATIVO;F;20282;527776;
140*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2014;;ATIVO;F;20201;553291;
202*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2021;;ATIVO;F;20262;10154958;
105*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2010;;CONCLUÍDO;M;;518227;
201*****;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;AMPLA CONCORRENCIA;2018;;CANCELADO;M;20222;464219;
201*****;ALIMENTOS;AMPLA CONCORRENCIA;2018;12-11-2021;CONCLUÍDO;M;20232;527823;09-03-2022
333*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2017;;CANCELADO;M;20242;528378;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2010;;CANCELADO;M;20182;527785;
202*****;GESTÃO AMBIENTAL;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2020;;TRANCADO;M;20242;527779;
202*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2022;;ATIVO;M;20272;7334610;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2018;;CANCELADO;M;20262;527785;
202*****;QUÍMICA;AMPLA CONCORRENCIA;2022;;CANCELADO;M;20301;527785;
204*****;CIÊNCIA DA COMPUTAÇÃO;AMPLA CONCORRENCIA;2009;;CANCELADO;M;;528391;
201*****;LOGÍSTICA;;2017;;CONCLUÍDO;M;20202;547949;
201*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;;2017;;NÃO CADASTRADO;M;20212;553057;
201*****;AGRONOMIA;;2016;10-08-2022;CONCLUÍDO;M;20252;527777;23-11-2022
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2016;;CANCELADO;M;;527781;
402*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2008;;CANCELADO;M;;528384;
201*****;GESTÃO DE TURISMO;AMPLA CONCORRENCIA;2012;;CANCELADO;M;;527780;
104*****;CIÊNCIA DA COMPUTAÇÃO;AMPLA CONCORRENCIA;2008;;CANCELADO;M;;528391;
201*****;DESIGN DE MODA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2018;;ATIVO;M;20232;553291;
201*****;EDUCAÇÃO FÍSICA;AMPLA CONCORRENCIA;2016;08-04-2022;CONCLUÍDO;M;20212;527783;07-07-2022
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2010;;CANCELADO;M;;527776;
105*****;ENGENHARIA MECATRÔNICA;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;M;;518226;
202*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2023;;ATIVO;M;20302;527776;
201*****;LOGÍSTICA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2019;;CANCELADO;M;20222;547949;
102*****;FÍSICA;AMPLA CONCORRENCIA;2010;;CANCELADO;M;;518227;
122*****;FÍSICA;AMPLA CONCORRENCIA;2012;;CANCELADO;M;;518227;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2017;19-11-2021;CONCLUÍDO;M;20222;527781;09-03-2022
201*****;QUÍMICA;AMPLA CONCORRENCIA;2015;16-01-2021;CONCLUÍDO;M;20232;527785;25-05-2021
120*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2012;;CONCLUÍDO;M;;553290;
201*****;EDUCAÇÃO FÍSICA;AMPLA CONCORRENCIA;2014;;CONCLUÍDO;M;20192;527783;
228*****;MATEMÁTICA;AMPLA CONCORRENCIA;2014;;CANCELADO;M;20212;459794;
201*****;ALIMENTOS;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2018;;CANCELADO;M;20232;527823;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2014;;CANCELADO;M;20192;527781;
202*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;AMPLA CONCORRENCIA;2023;;CANCELADO;M;20302;548195;
170*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2017;;CANCELADO;M;;518227;
228*****;MATEMÁTICA;AMPLA CONCORRENCIA;2015;15-02-2019;CONCLUÍDO;M;20222;459794;
202*****;EDUCAÇÃO FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2022;;ATIVO;M;20292;528367;
202*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2023;;ATIVO;M;20302;528322;
152*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2006;;CANCELADO;M;;528384;
169*****;LATICÍNIOS;AMPLA CONCORRENCIA;2006;09-08-2012;CONCLUÍDO;M;20112;898737;
361*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2012;;CANCELADO;M;20172;528384;
400*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2009;;CONCLUÍDO;M;20162;528378;
201*****;LOGÍSTICA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2019;05-11-2021;CONCLUÍDO;M;20232;547949;14-03-2022
950*****;ENGENHARIA MECATRÔNICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2009;;CONCLUÍDO;M;;518226;
130*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2013;;CANCELADO;M;;553290;
201*****;GESTÃO AMBIENTAL;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2019;;CANCELADO;M;20232;527779;
201*****;FÍSICA;AMPLA CONCORRENCIA;2019;;CANCELADO;M;20281;518227;
380*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2009;;CONCLUÍDO;M;20162;528371;
181*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2006;;CONCLUÍDO;M;20112;898738;
202*****;FÍSICA;AMPLA CONCORRENCIA;2022;;ATIVO;M;20311;518227;
202*****;AGRONOMIA;AMPLA CONCORRENCIA;2020;;CANCELADO;M;20301;527777;
202*****;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PESSOA COM DEFICIENCIA;2023;;ATIVO;M;20272;464219;
202*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2021;29-09-2023;CONCLUÍDO;M;20252;553057;
201*****;FÍSICA;;2018;;CANCELADO;M;20252;518227;
202*****;EDUCAÇÃO FÍSICA;AMPLA CONCORRENCIA;2023;;ATIVO;M;20302;528367;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2012;;CANCELADO;M;20202;527785;
202*****;ENGENHARIA METALÚRGICA;AMPLA CONCORRENCIA;2022;;ATIVO;M;20312;518225;
130*****;FÍSICA;AMPLA CONCORRENCIA;2013;;CANCELADO;M;;518227;
337*****;EDUCAÇÃO FÍSICA;AMPLA CONCORRENCIA;2017;29-03-2022;CONCLUÍDO;F;20242;528367;26-05-2022
201*****;LOGÍSTICA;AMPLA CONCORRENCIA;2019;;FORMADO;F;20232;547949;
215*****;MATEMÁTICA;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;F;20182;459794;
207*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2009;;CONCLUÍDO;F;20162;528322;
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2012;;CANCELADO;F;20192;527776;
412*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;F;20172;528322;
202*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2022;;TRANCADO;F;20261;2301791;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2012;;CANCELADO;F;;527781;
329*****;ZOOTECNIA;AMPLA CONCORRENCIA;2015;19-08-2022;CONCLUÍDO;F;20242;528390;29-12-2022
201*****;GESTÃO DE RECURSOS HUMANOS;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2019;;ATIVO;M;20222;551645;
314*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2015;;CANCELADO;M;20222;528378;
201*****;EDUCAÇÃO FÍSICA;AMPLA CONCORRENCIA;2011;;CANCELADO;F;20162;527783;
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2019;;CANCELADO;F;20232;527779;
120*****;ENGENHARIA MECATRÔNICA;AMPLA CONCORRENCIA;2012;;CANCELADO;M;;518226;
170*****;ENGENHARIA MECATRÔNICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2017;;CANCELADO;M;;518226;
122*****;ENGENHARIA MECATRÔNICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2012;;CANCELADO;M;;518226;
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2010;;CANCELADO;M;;527776;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2010;;CANCELADO;M;;527785;
306*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;M;20172;528371;
202*****;SISTEMAS DE INFORMAÇÃO;AMPLA CONCORRENCIA;2020;;ATIVO;M;20242;518224;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2014;;CANCELADO;M;20222;527785;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2013;;CANCELADO;M;;527781;
627*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2015;;CANCELADO;M;20222;528322;
202*****;AGRONOMIA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2023;;CANCELADO;M;20322;21762375;
202*****;MATEMÁTICA;AMPLA CONCORRENCIA;2021;;CANCELADO;M;20272;524921;
213*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2013;;CANCELADO;M;20182;528384;
209*****;ZOOTECNIA;AMPLA CONCORRENCIA;2009;;CANCELADO;M;;528390;
201*****;SISTEMAS PARA INTERNET;AMPLA CONCORRENCIA;2011;;CANCELADO;M;20152;527820;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2013;;CANCELADO;M;20212;527785;
202*****;MATEMÁTICA;AMPLA CONCORRENCIA;2023;;CANCELADO;M;20302;459794;
202*****;LOGÍSTICA;AMPLA CONCORRENCIA;2020;;FORMADO;M;20242;547949;
201*****;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;AMPLA CONCORRENCIA;2018;10-03-2021;CONCLUÍDO;M;20222;464219;26-05-2021
202*****;AGRONOMIA;AMPLA CONCORRENCIA;2022;;ATIVO;M;20312;527777;
*****;AGRONOMIA;AMPLA CONCORRENCIA;2022;;NÃO CADASTRADO;M;20312;527777;
202*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2022;;CANCELADO;M;20271;10154958;
202*****;ENGENHARIA FERROVIÁRIA E METROVIÁRIA;AMPLA CONCORRENCIA;2021;;ATIVO;M;20312;921263;
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2012;;CANCELADO;M;20202;527779;
201*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2019;;ATIVO;M;20271;553057;
201*****;SISTEMAS PARA INTERNET;AMPLA CONCORRENCIA;2010;;CANCELADO;M;20142;527820;
