matricula;curso;modalidade_entrada;ano_ingresso;data_colacao_grau;situacao_matricula;sexo;prazo_conclusao;id_curso;data_registro_diploma
201*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;;2018;;CANCELADO;M;20211;553057;
222*****;LATICÍNIOS;AMPLA CONCORRENCIA;2005;22-02-2008;CONCLUÍDO;M;20122;898737;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2017;;ATIVO;M;20261;527785;
112*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2010;;CANCELADO;M;;528322;
130*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2015;;CANCELADO;M;;528371;
134*****;CIÊNCIA DA COMPUTAÇÃO;AMPLA CONCORRENCIA;2017;;CANCELADO;M;20242;528391;
201*****;GESTÃO DE RECURSOS HUMANOS;AMPLA CONCORRENCIA;2017;;CONCLUÍDO;F;20202;551645;
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;F;;527779;
201*****;ENGENHARIA METALÚRGICA;AMPLA CONCORRENCIA;2019;;CANCELADO;F;20302;518225;
202*****;GESTÃO AMBIENTAL;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2020;;ATIVO;F;20241;2301791;
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2019;;CANCELADO;F;20262;527776;
202*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2021;;CANCELADO;F;20302;527781;
150*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2015;;CANCELADO;F;;553290;
201*****;ALIMENTOS;AMPLA CONCORRENCIA;2013;;CONCLUÍDO;F;;527823;
201*****;ALIMENTOS;AMPLA CONCORRENCIA;2013;;CONCLUÍDO;F;;527823;
160*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2016;22-10-2020;CONCLUÍDO;F;20232;553290;04-02-2021
110*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2011;;CANCELADO;F;;553290;
201*****;ADMINISTRAÇÃO;;2018;;CANCELADO;F;20252;528322;
126*****;LATICÍNIOS;AMPLA CONCORRENCIA;2005;22-02-2008;CONCLUÍDO;M;20122;898737;
105*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2008;;CANCELADO;F;;528378;
117*****;ZOOTECNIA;AMPLA CONCORRENCIA;2012;01-02-2019;CONCLUÍDO;F;20212;528390;
